"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"11 Com b",2.66161697021656,1.29403911761569,1.43875937754207,1.53675775462196,1.42262455736646,1.34897340810735,1.51298197278544,0.23657906886859,0.263783777676541,"Jovian",-0.76376687951593,5.48505648735606,"K",5.34621656077933,6.48333320665886,6.38773171390629,"non-habitable"
"11 UMi b",2.53293891223213,1.32245115881912,1.68372982653553,1.79000575859628,1.62975273242882,1.88752649119662,1.56715630340603,0.265163761371754,0.300822936050009,"Jovian",-1.49814544441056,8.8674292635035,"K",5.87615242001758,8.34934927322587,8.44267841042003,"non-habitable"
"14 And b",2.00750753311846,1.44212217670343,0.887615171043372,1.22750166155571,0.851169383436236,1.10787674706177,0.749256313952993,0.152571455464194,0.211034987115291,"Jovian",-0.671495729986462,2.97727315008271,"G",4.06866701599861,3.57696393842641,3.51817139232719,"non-habitable"
"14 Her b",1.99364879999869,1.44536013460199,2.76622844806902,2.47102709603914,2.79644508206343,2.36287737987916,2.97044680670474,-1.92016069841851,-2.48775718930379,"Jovian",-0.0286990604958808,-0.179399125710124,"K",-0.418999929793943,-0.254226451950898,-0.244657768816378,"non-habitable"
"16 Cyg B b",1.54327007812908,1.55296746306154,1.80688624193987,2.03060392690945,2.06691347287795,0.601218546209354,2.35296061000516,-1.72774286901744,-1.83236077698571,"Jovian",0.432923225599828,-0.116704542278291,"G",-0.0153537874647062,-0.0914433602021567,-0.0954963105330212,"non-habitable"
"18 Del b",2.36506007962414,1.36004144258185,2.55065889319216,2.15106504342009,2.4734569335105,2.86179386654951,2.36409979594182,-1.04015940061308,-0.805966817999121,"Jovian",-0.460967296417249,2.19359085718479,"G",3.60366207548174,2.81282437779088,2.74592503854209,"non-habitable"
"24 Boo b",1.22972866718777,1.63072582794415,-0.170163439511086,0.241383782202474,-0.176841345949737,-0.134412916595903,-0.184404434792334,1.54543196891706,1.33684707564041,"Jovian",-0.569144933008664,2.86442289990541,"G",4.06791849747707,3.56062095170612,3.4882177081961,"non-habitable"
"24 Sex b",1.59543107439207,1.5402633366968,1.48448370017786,1.71774001501521,1.43695380175788,1.64802266746043,1.39490349827649,-0.903484816081395,-0.680675565371608,"Jovian",-0.314321075421062,1.06508835541178,"K",2.39761517329267,1.41623133999525,1.37718160407662,"non-habitable"
"24 Sex c",1.20334627515551,1.63738099647176,2.16721959272469,2.08610797116598,2.16208006983507,1.9680652269537,2.29066779387114,-1.24209403060221,-1.02739279410002,"Jovian",-0.314321075421062,1.06508835541178,"K",2.39761517329267,1.41623133999525,1.37718160407662,"non-habitable"
"2MASS J02192210-3925225 b",2.50545494220988,2.07905605038202,11.8299124461015,3.87383904298206,11.4890104920932,13.7610423531299,10.559963380138,-1.95615853122084,-7.04501000548456,"Jovian",-3.47518861691581,-0.383156521863584,"M",-1.02098921866194,-0.640514098484766,-0.610800346600188,"non-habitable"
"2MASS J21402931+1625183 A b",2.69762323522643,0.95187156651822,2.91969811650638,3.25523695559135,2.88739292824726,2.83110962754027,2.96901664881575,-1.95614115782458,-5.33257432716739,"Jovian",-5.25561724502371,-0.433312188609051,"M",-1.02824822353621,-0.675151151817018,-0.647472661376734,"non-habitable"
"30 Ari B b",2.50275134082655,1.32916665836282,1.09363118167646,1.55187080386282,1.10092415058777,0.903287617891172,1.23095537932588,-1.29293129739927,-1.08075827963863,"Jovian",1.0305878886635,-0.0289321254737232,"F",0.659088503263017,0.182349640074221,0.153601439710747,"non-habitable"
