"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_RADIUS_EST","S_LUMINOSITY","P_HABITABLE"
"11 Com b",2.66161697021656,1.43875937754207,1.53675775462196,0.263783777676541,5.48505648735606,5.34621656077933,"non-habitable"
"11 UMi b",2.53293891223213,1.68372982653553,1.79000575859628,0.300822936050009,8.8674292635035,5.87615242001758,"non-habitable"
"14 And b",2.00750753311846,0.887615171043372,1.22750166155571,0.211034987115291,2.97727315008271,4.06866701599861,"non-habitable"
"14 Her b",1.99364879999869,2.76622844806902,2.47102709603914,-2.48775718930379,-0.179399125710124,-0.418999929793943,"non-habitable"
"16 Cyg B b",1.54327007812908,1.80688624193987,2.03060392690945,-1.83236077698571,-0.116704542278291,-0.0153537874647062,"non-habitable"
"18 Del b",2.36506007962414,2.55065889319216,2.15106504342009,-0.805966817999121,2.19359085718479,3.60366207548174,"non-habitable"
"24 Boo b",1.22972866718777,-0.170163439511086,0.241383782202474,1.33684707564041,2.86442289990541,4.06791849747707,"non-habitable"
"24 Sex b",1.59543107439207,1.48448370017786,1.71774001501521,-0.680675565371608,1.06508835541178,2.39761517329267,"non-habitable"
"24 Sex c",1.20334627515551,2.16721959272469,2.08610797116598,-1.02739279410002,1.06508835541178,2.39761517329267,"non-habitable"
"2MASS J02192210-3925225 b",2.50545494220988,11.8299124461015,3.87383904298206,-7.04501000548456,-0.383156521863584,-1.02098921866194,"non-habitable"
"2MASS J21402931+1625183 A b",2.69762323522643,2.91969811650638,3.25523695559135,-5.33257432716739,-0.433312188609051,-1.02824822353621,"non-habitable"
"30 Ari B b",2.50275134082655,1.09363118167646,1.55187080386282,-1.08075827963863,-0.0289321254737232,0.659088503263017,"non-habitable"
"4 UMa b",2.1908177970538,0.940760534432857,1.43150698796954,0.405210050276784,5.2060655910844,4.872853155336,"non-habitable"
"42 Dra b",1.907891529967,1.32901448344549,1.74886335168399,0.243840794565411,6.43487942634834,5.11099477642616,"non-habitable"
"47 UMa b",1.70775398796781,2.18312823917846,2.19622764714247,-1.85879736243647,-0.0853572505623736,0.180973979112227,"non-habitable"
"47 UMa c",0.986332339858905,3.15313981762125,2.63602327943056,-2.26933487259085,-0.0853572505623736,0.180973979112227,"non-habitable"
"47 UMa d",1.50496207667375,5.62979655118696,3.6122649086269,-3.1574910533287,-0.0853572505623736,0.180973979112227,"non-habitable"
"51 Peg b",0.923667063751259,-0.471486943154557,-0.747856943182056,0.907479279444439,-0.0947614380771487,0.0922228749676037,"non-habitable"
"55 Cnc b",1.18711023139706,-0.329668211248478,-0.142377876392967,-0.0425232909518,-0.176264396538533,-0.459610314685298,"non-habitable"
"55 Cnc c",0.45449120678781,-0.0662760088084953,0.446153836191231,-0.606860203052392,-0.176264396538533,-0.459610314685298,"non-habitable"
"55 Cnc d",1.90765014950751,4.00407489338075,3.02377508835909,-2.98466106744835,-0.176264396538533,-0.459610314685298,"non-habitable"
"55 Cnc e",-0.393483909677082,-0.560059688216515,-1.35701561867164,1.4926873449343,-0.176264396538533,-0.459610314685298,"non-habitable"
"55 Cnc f",0.364837570748074,0.830547462941173,1.41638202454827,-1.51774837439952,-0.176264396538533,-0.459610314685298,"non-habitable"
"6 Lyn b",1.60010880144,2.19104411493004,2.11727131981988,-1.0339357130891,1.15913023055953,2.38744408537395,"non-habitable"
"61 Vir b",-0.580940729403266,-0.47732862400874,-0.749526571352626,0.714717205617317,-0.169994938195349,-0.295274196668331,"non-habitable"
"61 Vir c",-0.04465816829462,-0.114010113995086,0.362294650568262,-0.405192829647243,-0.169994938195349,-0.295274196668331,"non-habitable"
"61 Vir d",0.059657575720207,0.359220118320536,1.00106136726926,-1.0127787810825,-0.169994938195349,-0.295274196668331,"non-habitable"
"7 CMa b",1.6946252634395,2.0445047253852,2.02887376251457,-1.63734008382823,0.250058770797937,0.535989547264777,"non-habitable"
"70 Vir b",2.21121002283627,0.367532190146216,0.972154805581131,-0.530490825331869,0.121534874762678,0.677181411037895,"non-habitable"
"75 Cet b",1.7874927275208,2.18312823917846,1.95154914806205,-0.523875226362186,2.82053669150312,3.98801750520912,"non-habitable"
"8 UMi b",1.39992947798343,0.382423447858923,0.850343776140734,0.57369683101734,2.75784210807129,3.94186422697821,"non-habitable"
"81 Cet b",2.05390313404546,2.48141833427696,2.12803387845363,-0.643507690178133,2.97727315008271,4.0400112099479,"non-habitable"
"91 Aqr b",1.81769864484863,0.706499807379097,1.21421514629154,0.293340374979328,2.97727315008271,3.91540904494554,"non-habitable"
"BD+03 2562 b",2.14221120787657,1.44946909948177,1.75207589430137,0.441545546339969,9.66991993143097,5.93992511057114,"non-habitable"
"BD+14 4559 b",1.29208692389254,0.819525573187066,1.43077072703462,-1.6773414705639,-0.201342229911266,-0.634614610600417,"non-habitable"
"BD+15 2375 b",1.30142490288099,0.520344458576772,1.12150342852952,0.279557782933312,2.33465366990641,3.39558673999445,"non-habitable"
"BD+15 2940 b",1.32251587011287,0.46195233195268,1.06203080629844,0.75019902850209,4.13712294357163,4.76624922099351,"non-habitable"
"BD+20 274 b",1.9449912874764,1.44946909948177,1.85253080519564,0.0363976277927245,4.95215252818547,4.62446558496169,"non-habitable"
"BD+20 594 b",0.0470195137813656,0.0072771942518756,0.411881383386427,-0.452822506031452,-0.132378188136249,-0.0694930453946693,"non-habitable"
"BD+48 738 b",1.22972866718777,1.10595139442164,1.63911582886337,-0.0672173331809179,2.97727315008271,3.64494856473482,"non-habitable"
"BD+48 740 b",1.5217647284647,1.84357165874096,1.98338264591409,-0.542208055742156,2.76724629558607,3.62252199939174,"non-habitable"
"BD+49 828 b",1.49341589858276,3.45448128157393,2.68017108885995,-1.27938193894487,1.91146523174153,3.29656784827853,"non-habitable"
"BD-06 1339 b",-0.368262240655266,-0.494711153390048,-0.787020947969266,0.0778279365154042,-0.285896044730527,-0.899316248925898,"non-habitable"
"BD-06 1339 c",0.450718269991149,0.289979559405329,1.01396215072576,-1.69967688112177,-0.285896044730527,-0.899316248925898,"non-habitable"
"BD-08 2823 b",-0.20028741915783,-0.45450149735579,-0.619409823577309,0.123315126216924,-0.248363167485142,-0.756994160078035,"non-habitable"
"BD-08 2823 c",0.75732868300507,0.677412162613705,1.3625933140566,-1.72917229558251,-0.248363167485142,-0.756994160078035,"non-habitable"
"BD-10 3166 b",1.02758996971162,-0.501319623311043,-0.832493917560595,0.79746179239054,-0.185668584053308,-0.420193955995195,"non-habitable"
"BD-11 4672 b",0.977626191675987,2.32185405582896,2.43686578086044,-2.99220089585699,-0.307923021745384,-0.912872078134207,"non-habitable"
"BD-13 2130 b",2.34079708502288,1.80688624193987,1.96912579586928,0.0141616121902386,5.53834688327312,5.15769540467484,"non-habitable"
"BD-17 63 b",1.76348741106567,1.49184734406551,1.92182190125691,-2.28861214494734,-0.238958979970366,-0.76770379385299,"non-habitable"
"CFBDSIR J145829+101343 b",2.37406733809223,2.55065889319216,3.42838828304857,-7.20084821220588,-0.438924153182139,-1.02869783622744,"non-habitable"
"CoRoT-1 b",1.28757399245664,-0.536297294723395,-1.15373247565516,1.44929338201266,-0.122974000621474,0.056358130049186,"non-habitable"
"CoRoT-10 b",1.74677210828086,-0.351199831619404,-0.194567532168619,-0.172976825583546,-0.223285334112408,-0.634593443019549,"non-habitable"
"CoRoT-11 b",1.66922208798229,-0.492826278070398,-0.896842285014338,1.31531845273879,-0.0414710421600899,0.669029068248231,"non-habitable"
"CoRoT-12 b",1.23330644258555,-0.500941517426694,-0.920333409516594,1.0304736141002,-0.119839271449882,-0.0633850556222978,"non-habitable"
