"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"Kepler-272 d",-0.535670811482611,-0.606677748670376,-0.38365122111514,-0.292034015971905,-0.384725561346837,-0.362156810340829,-0.390542931401249,0.0886589593133661,0.158916063993858,"Superterran",-0.0765717720152419,-0.179399125710124,"K",-0.433738396139568,-0.259889602233289,-0.249515744471379,"non-habitable"
"Kepler-548 b",0.723447685867083,1.27702093686355,-0.473815623288835,-0.724751899611897,-0.472381248253381,-0.466418747646845,-0.471383043426,0.672434006738838,0.632734614979817,"Jovian",0.19631292427871,-0.188803313224899,"G",-0.379765047656461,-0.241685592712277,-0.235339894666034,"non-habitable"
"Kepler-1595 b",-0.904672103408129,-0.803935033346541,-0.47593890402268,-0.713759834521385,-0.474445451272905,-0.468874011114669,-0.47328674653106,0.461297202412705,0.461826488501112,"Terran",-0.187742030710246,-0.220150604940816,"K",-0.590458634486769,-0.330622818020259,-0.316390345240322,"non-habitable"
"Kepler-690 b",0.176879958540296,0.108650866089341,-0.410093626217632,-0.463750586359635,-0.410432238559146,-0.392733582509798,-0.41425081321664,0.632640044656826,0.60054858896876,"Neptunian",0.606484291410756,-0.107300354763515,"G",0.102767178646515,-0.0468717158907089,-0.0557592000457751,"non-habitable"
"K2-90 c",-0.875866318762005,-0.790929058532728,-0.513164838026654,-0.909945243527823,-0.509177551429468,-0.530240594999053,-0.492549255597162,0.300624965818489,0.320976596074886,"Terran",-1.11110023779622,-0.276575730029467,"K",-0.865862013682149,-0.475011771231916,-0.449484981913601,"non-habitable"
"Kepler-800 b",-0.373017045668275,-0.491791637815028,-0.344898563695258,-0.161035020511751,-0.347051149675479,-0.31734503273297,-0.355797853614952,-0.184583269374748,-0.0651467680748247,"Neptunian",-0.0555090247514737,-0.213881146597633,"G",-0.538317493770082,-0.308129588181602,-0.296135651167645,"non-habitable"
"WASP-62 b",0.968755190257082,1.81893655410576,-0.46729531483164,-0.729047370378223,-0.466042359480437,-0.458878965036516,-0.465537028220351,1.14187375065782,1.01186349948113,"Jovian",0.930735479114655,-0.0853572505623736,"F",0.361046764125962,0.0519566971211766,0.0328074185752033,"non-habitable"
"Kepler-971 b",-0.573481232618176,-0.630522035829034,-0.398023492315574,-0.35815642951406,-0.398697941511398,-0.378776238881575,-0.40342890397893,0.119057379913512,0.183716003381388,"Superterran",0.0785414552214675,-0.204476959082858,"G",-0.470654951922804,-0.279613561312836,-0.27024953698435,"non-habitable"
"HAT-P-56 b",1.66518869941896,2.23079242320984,-0.492840126632316,-0.925729903758972,-0.490876417837227,-0.488417801897269,-0.488440140732978,1.62171852770677,1.39886194162727,"Jovian",1.25688606500092,-0.010123750444173,"F",0.877256282069038,0.274467434923465,0.236525852458775,"non-habitable"
"Kepler-1162 b",-0.549239359383406,-0.615348398546252,-0.166193189704571,0.279066851030401,-0.17331803623601,-0.110698417770985,-0.195573173979171,-0.65716753687007,-0.461794308114039,"Superterran",0.0314914740243071,-0.20761168825445,"G",-0.494532042258448,-0.289534742574818,-0.279234048549033,"non-habitable"
"Kepler-793 b",-0.847761258688559,-0.777923083718915,-0.475634035218271,-0.746722616521427,-0.474149065073667,-0.468521474953994,-0.473013405526106,0.82792578913032,0.758410828508699,"Terran",0.427521821387297,-0.166860209023758,"G",-0.214909968186017,-0.176400230207177,-0.175994837427413,"non-habitable"
"GJ 3138 d",-0.282704815727874,-0.418115710361261,0.703606484742023,1.40748856929141,0.722049891768799,0.494245175066321,0.85661451456704,-1.91416000590613,-2.41588547031802,"Neptunian",-2.27580080298764,-0.314192480088567,"M",-0.976398392209832,-0.566960805440979,-0.536378589350243,"non-habitable"
"HD 195019 b",1.91980387406168,1.46268596486244,-0.275667932366646,-0.0294528566551471,-0.279732104538023,-0.24078247401734,-0.291022025914651,0.27462232584695,0.310319527952603,"Jovian",0.434002942899185,-0.00698902127258133,"G",0.403355449043293,0.0930163851745407,0.0794056399129007,"non-habitable"
"WASP-7 b",1.25470428288865,1.84061317879544,-0.450562776237828,-0.676255251243506,-0.449775383503539,-0.439530232634589,-0.450534873691822,1.21796975298191,1.07325722974764,"Jovian",1.0978923389141,-0.0226626671305398,"F",0.725909581242629,0.210286244326556,0.178774356031719,"non-habitable"
"Kepler-678 b",0.0652448029033196,-0.0474208316764155,-0.426917730922877,-0.494462152195102,-0.426788232931348,-0.412188197720676,-0.429335064609645,0.365954368987126,0.384513956340935,"Neptunian",0.179463875238568,-0.185668584053308,"G",-0.374054548440979,-0.238792774532169,-0.232381408437577,"non-habitable"
"Kepler-250 d",-0.559550161631694,-0.621851385953158,-0.303857394298594,-0.0455970588543427,-0.307151901100835,-0.269886925903211,-0.319000928756939,-0.396475467162357,-0.241005391494834,"Superterran",-0.239267602403123,-0.217015875769225,"K",-0.593535985201638,-0.331316313800959,-0.316516501663596,"non-habitable"
"Kepler-407 c",2.45946245444608,1.33883006284312,3.39223518194012,2.76132559734368,3.28610137657576,4.00410328720395,2.99486275484385,-1.93320171054571,-2.62223041268802,"Jovian",0.129774623517411,-0.154321292337391,"G",-0.279372542762852,-0.196275593428211,-0.191144650108945,"non-habitable"
"HD 219134 c",-0.640343160785206,-0.74974347162232,-0.442242732311117,-0.5296366535031,-0.441405336516611,-0.440731390529376,-0.434716113124605,0.0114379705203052,0.0947164506760009,"Superterran",-0.820323395254309,-0.226420063284,"K",-0.734290526613179,-0.39673602820056,-0.374436073848798,"non-habitable"
"K2-237 b",1.37275464425108,2.51692386911372,-0.512452513055325,-1.02269901417787,-0.509943113366064,-0.511096656903903,-0.506024325591814,1.62200324688019,1.39909152496366,"Jovian",0.7987851385335,-0.0383363129884983,"F",0.485600715515099,0.113867957695167,0.0928505906839674,"non-habitable"
