"","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","P_TYPE","S_RADIUS_EST","S_TYPE_TEMP","P_HABITABLE"
"Kepler-272 d",-0.38365122111514,-0.292034015971905,0.158916063993858,"Superterran",-0.179399125710124,"K","non-habitable"
"Kepler-548 b",-0.473815623288835,-0.724751899611897,0.632734614979817,"Jovian",-0.188803313224899,"G","non-habitable"
"Kepler-1595 b",-0.47593890402268,-0.713759834521385,0.461826488501112,"Terran",-0.220150604940816,"K","non-habitable"
"Kepler-690 b",-0.410093626217632,-0.463750586359635,0.60054858896876,"Neptunian",-0.107300354763515,"G","non-habitable"
"K2-90 c",-0.513164838026654,-0.909945243527823,0.320976596074886,"Terran",-0.276575730029467,"K","non-habitable"
"Kepler-800 b",-0.344898563695258,-0.161035020511751,-0.0651467680748247,"Neptunian",-0.213881146597633,"G","non-habitable"
"WASP-62 b",-0.46729531483164,-0.729047370378223,1.01186349948113,"Jovian",-0.0853572505623736,"F","non-habitable"
"Kepler-971 b",-0.398023492315574,-0.35815642951406,0.183716003381388,"Superterran",-0.204476959082858,"G","non-habitable"
"HAT-P-56 b",-0.492840126632316,-0.925729903758972,1.39886194162727,"Jovian",-0.010123750444173,"F","non-habitable"
"Kepler-1162 b",-0.166193189704571,0.279066851030401,-0.461794308114039,"Superterran",-0.20761168825445,"G","non-habitable"
"Kepler-793 b",-0.475634035218271,-0.746722616521427,0.758410828508699,"Terran",-0.166860209023758,"G","non-habitable"
"GJ 3138 d",0.703606484742023,1.40748856929141,-2.41588547031802,"Neptunian",-0.314192480088567,"M","non-habitable"
"HD 195019 b",-0.275667932366646,-0.0294528566551471,0.310319527952603,"Jovian",-0.00698902127258133,"G","non-habitable"
"WASP-7 b",-0.450562776237828,-0.676255251243506,1.07325722974764,"Jovian",-0.0226626671305398,"F","non-habitable"
"Kepler-678 b",-0.426917730922877,-0.494462152195102,0.384513956340935,"Neptunian",-0.185668584053308,"G","non-habitable"
"Kepler-250 d",-0.303857394298594,-0.0455970588543427,-0.241005391494834,"Superterran",-0.217015875769225,"K","non-habitable"
"Kepler-407 c",3.39223518194012,2.76132559734368,-2.62223041268802,"Jovian",-0.154321292337391,"G","non-habitable"
"HD 219134 c",-0.442242732311117,-0.5296366535031,0.0947164506760009,"Superterran",-0.226420063284,"K","non-habitable"
