"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_RADIUS_EST","S_LUMINOSITY","P_HABITABLE"
"Kepler-1227 b",-0.52562600061507,0.231468283112616,0.85552057197836,-0.832626760593289,-0.173129667366941,-0.23874245413661,"non-habitable"
"Kepler-1411 b",-0.378638066138098,0.185163998079187,0.805976702228765,-0.827889042918957,-0.182533854881716,-0.308062097030227,"non-habitable"
"Kepler-1245 b",-0.820347827373573,-0.478701942102118,-0.734985093074657,0.537845014179524,-0.210746417426041,-0.531192711770016,"non-habitable"
"HD 99492 b",0.0470195137813656,-0.319171321074571,-0.0638233551620204,-0.290811631725878,-0.210746417426041,-0.670797112998884,"non-habitable"
"Kepler-210 c",-0.198710811405292,-0.431422667731135,-0.449757310555749,-0.143336421323068,-0.267171542514692,-0.839498587968253,"non-habitable"
"K2-47 b",-0.650264636007661,-0.19528322848201,0.263602594248652,-0.578477796698148,-0.232689521627183,-0.665295945203213,"non-habitable"
"Kepler-840 b",1.80978600340333,-0.509665320815475,-0.97049341682599,1.12699409295264,-0.138647646479432,-0.0232132058225411,"non-habitable"
"Kepler-1411 b.1",-0.378638066138098,0.185163998079187,0.805976702228765,-0.827889042918957,-0.182533854881716,-0.308062097030227,"non-habitable"
"Kepler-329 b",-0.83396880492393,-0.452183838253021,-0.485104679244672,-0.313230042634633,-0.307923021745384,-0.933065184736733,"non-habitable"
"Kepler-228 c",-0.410220508125947,-0.47312186895956,-0.758126712413181,0.850585462765252,-0.154321292337391,-0.0331131454499803,"non-habitable"
"Kepler-169 e",-0.552663379249591,-0.352311741747559,-0.174511254780582,-0.193445696718223,-0.232689521627183,-0.679360869592453,"non-habitable"
"Kepler-1111 b",-0.616582548387251,-0.394789895856472,-0.401238304519699,0.573430061694837,-0.110435083935107,0.172590267116328,"non-habitable"
"Kepler-108 c",0.423629255668101,0.736675821152998,1.24060170957679,-0.614476612864432,0.215576749910429,1.21920625571429,"non-habitable"
"Kepler-226 d",-0.913364313058516,-0.417678676859652,-0.44141436076344,0.258499687636499,-0.220150604940816,-0.479351614772387,"non-habitable"
"HD 219828 c",2.52846875479286,4.11022405787442,3.00715819388387,-2.52526631938688,0.0337624579581107,0.585547935245475,"non-habitable"
"Kepler-238 b",-0.709180276736973,-0.515540746666342,-1.03849993992036,1.36517475560638,-0.0226626671305398,0.34542275376024,"non-habitable"
"Kepler-1315 b",-0.843144619242741,-0.558187088435019,-1.32403110396121,1.18094224435276,-0.235824250798775,-0.718962357727741,"non-habitable"
"Kepler-876 b",-0.820347827373573,-0.467629595906813,-0.658926919944899,0.338364977093901,-0.229554792455591,-0.655442708333483,"non-habitable"
"WASP-6 b",0.810451877870663,-0.510861767831512,-0.848322589283989,0.72608072486332,-0.242093709141958,-0.5895757795135,"non-habitable"
"HATS-51 b",1.15054295507969,-0.486264063198244,-0.849862570988215,1.12423558416138,-0.0195279379589481,0.361141785881489,"non-habitable"
"KOI-3680 b",1.58111096497555,0.453954025850036,1.07683711092445,-1.04588191606152,-0.169994938195349,-0.191946729844852,"non-habitable"
"Kepler-1074 b",-0.894991955002278,-0.468076102197052,-0.591208748125519,-0.246708545014627,-0.292249375887425,-0.938739553329232,"non-habitable"
"HIP 57274 b",-0.492053690099286,-0.431422667731135,-0.439830337031346,-0.0241380148944603,-0.226420063284,-0.774655670000035,"non-habitable"
"HD 20794 b",-0.813843356274937,-0.317635627618572,-0.0261918140759625,0.0829496877568724,-0.13422441822915,-0.240382448937203,"non-habitable"
"Kepler-431 c",-1.32828067323903,-0.397885417231216,-0.406518124305003,0.526272445589986,-0.129243458964657,0.056194394457872,"non-habitable"
"Kepler-84 e",-0.436937783460362,-0.188823078407729,0.187446691454148,0.00735325929892207,-0.104165625591924,0.175749145545989,"non-habitable"
"Kepler-717 b",-0.486531288099328,-0.476837425757197,-0.729409845757845,0.594547703232875,-0.204476959082858,-0.452617468032007,"non-habitable"
"GJ 143 b",0.0560275067331215,-0.167067225837273,0.327098946153227,-0.842143824568774,-0.254632625828325,-0.803314781683745,"non-habitable"
"Kepler-1610 b",-0.750518700821969,-0.408066046046402,-0.406585556630492,0.228895158543019,-0.198207500739674,-0.465685071177162,"non-habitable"
"Kepler-730 c",-0.767540769219131,-0.501390524640289,-0.91690342564847,1.19560274451048,-0.0289321254737232,0.247170491350936,"non-habitable"
"Kepler-108 c.1",0.423629255668101,0.736675821152998,1.24060170957679,-0.614476612864432,0.215576749910429,1.21920625571429,"non-habitable"
"Kepler-265 b",-0.661763243848923,-0.433720823388391,-0.523855427760287,0.64621360082704,-0.126108729793066,-0.0119607509046519,"non-habitable"
"HD 215152 e",-0.792224732270688,-0.245305261604566,0.142165395212656,-0.536336847029175,-0.242093709141958,-0.717208742200159,"non-habitable"
"Kepler-321 b",-0.69311621935904,-0.461467616226785,-0.679909895393187,0.827143699096569,-0.0978961672487404,0.053068193734196,"non-habitable"
"Kepler-1030 b",-0.470733200210053,-0.295532021918406,0.00208886782655523,-0.365545126201784,-0.232689521627183,-0.682766363915174,"non-habitable"
"K2-281 b",0.423629255668101,-0.414710914937503,-0.407388720957179,-0.0172570913908306,-0.232689521627183,-0.722791483492462,"non-habitable"
