"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"Kepler-295 d",-0.852397099613272,-0.780090746187884,-0.166036020747103,0.300382504026231,-0.173165240314392,-0.110516674870295,-0.195432258542233,-0.526449323623052,-0.350303546465901,"Terran",0.272127078504311,-0.188803313224899,"G",-0.354683833676506,-0.23249075934002,-0.227454620188063,"non-habitable"
"Kepler-386 b",-0.83854715706217,-0.773587758780977,-0.37241262221837,-0.231884428037583,-0.373799662850159,-0.349161015267235,-0.380466564543452,-0.179247483006057,-0.0607468221477635,"Terran",-0.217646711593975,-0.229554792455591,"K",-0.624658379881739,-0.3468007658771,-0.331700379140676,"non-habitable"
"K2-148 c",-0.709180276736973,-0.708557884711912,-0.450794291077764,-0.518506586031154,-0.450000456723507,-0.439797945669278,-0.450742446582505,-0.394611858532995,-0.239447415031529,"Superterran",-1.69882343199936,-0.273441000857875,"K",-0.911407110687515,-0.506523241090029,-0.477298753722798,"non-habitable"
"53",-0.752846879735357,-0.7301318697964,-0.0711548170347119,0.622221410322605,-0.0808871886513027,-0.00518569773636901,-0.106974919638091,-1.65111630295222,-1.54800980327597,"Superterran",-2.22381448165747,-0.306313113214885,"K",-0.956702756048761,-0.552906999449506,-0.523025120682931,"habitable"
"HD 34445 f",0.287248890114933,0.285473880922439,1.69632689919284,1.93937697738209,1.63807623069042,1.98906394782041,1.51540148505078,-1.6628331533692,-1.54000115143481,"Neptunian",0.570679580204651,-0.0383363129884983,"G",0.359521115085663,0.067224613963094,0.0525801968184814,"non-habitable"
"Kepler-1606 b",-0.591197193173247,-0.641360348173878,0.615733786927405,1.25797314636564,0.586852769481691,0.793485710888053,0.505491357722948,-1.5400466549054,-1.35116374006759,"Superterran",0.0682439040300401,-0.201342229911266,"G",-0.463072387274088,-0.275984829003201,-0.266659984054763,"habitable"
"327",-0.677794289830832,-0.681602396368457,-0.115253875933067,0.533801977590645,-0.123712376868605,-0.058442991699131,-0.144767637257019,-1.62114570047792,-1.47454488746853,"Superterran",-2.16601890432662,-0.316355752815615,"M",-0.954034512695851,-0.555041475507193,-0.526248527391578,"habitable"
"384",-0.765956156422573,-0.737851910418026,0.180972727759695,0.883822073014759,0.164215113930886,0.288626282031993,0.117329384209696,-1.60003146906688,-1.4392592503973,"Terran",-0.968980311343099,-0.282461822231013,"K",-0.824700453942295,-0.460008322506872,-0.437705748221003,"habitable"
"Kepler-605 c",-1.21461680209162,-0.875467894822513,-0.516492352814356,-0.992551028881635,-0.513870549477579,-0.51576814043319,-0.509646388077771,1.03362764798456,0.92450908297848,"Terran",0.113880663023428,-0.195072771568083,"G",-0.427955108947383,-0.261185537626038,-0.253015055574166,"non-habitable"
"89",-0.480226130430047,-0.566052066324037,0.516451685918288,1.22374489833063,0.524567611075832,0.379037294338889,0.624798617583854,-1.61409275151385,-1.48708831077737,"Terran",-0.630894102501922,-0.214956831441809,"M",-0.650592056947762,-0.359785647977978,-0.34093872854121,"habitable"
"Kepler-28 b.1",1.46634709806126,-0.346558252394116,-0.449868362531735,-0.593868936145988,-0.44910029101762,-0.438727244797442,-0.44991227230548,-0.0856896577663836,0.0162229045450719,"Jovian",-0.966038691026633,-0.251497896656733,"M",-0.806299157331637,-0.437294281133871,-0.413180083134873,"non-habitable"
