"","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","P_TYPE","S_RADIUS_EST","S_TYPE_TEMP","P_HABITABLE"
"Kepler-94 c",1.74918480177804,2.04546565072099,-2.33474731629354,"Jovian",-0.232689521627183,"M","non-habitable"
"K2-157 b.1",-0.573764481665037,-1.48990606354418,1.86476505896267,"Terran",-0.195072771568083,"G","non-habitable"
"HD 177830 b",1.27224805040834,1.66314776157246,-0.932462512896891,"Jovian",0.55099277127074,"K","non-habitable"
"Kepler-282 c.1",-0.350088424276764,-0.179334943885257,0.102872490014093,"Terran",-0.188803313224899,"G","non-habitable"
"100",0.2185394403592,0.822259820151841,-1.41509820169142,"Terran",-0.26961419904517,"K","habitable"
"GJ 676 A c",4.38722020696953,3.25527459935408,-3.85281809793034,"Jovian",-0.254632625828325,"M","non-habitable"
"HATS-28 b",-0.498225591491249,-0.871599443877179,0.806752145600859,"Jovian",-0.182533854881716,"G","non-habitable"
"K2-54 b.1",-0.438093247988982,-0.348149271982351,-0.799312860904772,"Terran",-0.351809230147667,"M","non-habitable"
"Kepler-85 e",-0.226572789166145,0.142588072812268,-0.280052186270649,"Terran",-0.191938042396491,"G","non-habitable"
"HD 37605 b",0.00326504596796619,0.561992372120753,-0.74808156436015,"Jovian",-0.185668584053308,"K","non-habitable"
"Kepler-390 c",-0.361225177794937,-0.201617557567036,-0.093196308324471,"Subterran",-0.226420063284,"K","non-habitable"
"Kepler-1473 b",-0.320626068719647,-0.150347282831267,0.275104193398859,"Terran",-0.129243458964657,"F","non-habitable"
"K2-198 b",-0.314205153049882,-0.0638209363566823,-0.210931874325609,"Neptunian",-0.226420063284,"K","non-habitable"
"Kepler-255 c",-0.38139938651295,-0.339925074630912,0.228136458214679,"Neptunian",-0.179399125710124,"G","non-habitable"
"Kepler-887 c",-0.407603564221655,-0.470717721090166,0.742144507399417,"Terran",-0.0665488755328234,"F","non-habitable"
"WASP-82 b",-0.493539604052707,-0.938263979464061,1.6564803251188,"Jovian",0.187364187366104,"F","non-habitable"
"HD 233604 b",0.77353049649322,1.24542149721109,0.27727703626625,"Jovian",2.94592585836679,"K","non-habitable"
"Kepler-34 b",1.2136690455855,1.47003118110642,-1.4016001492448,"Jovian",-0.107300354763515,"G","non-habitable"
"KIC 8540376 c",0.145688448776725,0.732022169449415,-0.338119147974254,"Superterran",-0.0759530630475985,"F","non-habitable"
"Kepler-1468 b",-0.406573983568209,-0.433537797334428,0.504532330157606,"Superterran",-0.141782375651024,"G","non-habitable"
"Kepler-1417 b",-0.261025879710643,0.0291595441534439,0.0130331686066348,"Terran",-0.151186563165799,"G","non-habitable"
"Kepler-807 b.1",0.360436200256121,0.977959411203497,-0.823751141720274,"Jovian",-0.138647646479432,"G","non-habitable"
"Kepler-1545 b",0.483330002163126,1.15779827096786,-1.35953433648673,"Neptunian",-0.220150604940816,"K","non-habitable"
"247",-0.50903168889689,-0.588547565330387,-1.42418343124348,"Superterran",-0.429100177532067,"K","habitable"
"K2-26 b",-0.371964145381734,-0.145386949570656,-0.840070394809749,"Neptunian",-0.307923021745384,"M","non-habitable"
"Kepler-1359 b",-0.00155644582403462,0.604537496757381,-1.05830160164247,"Neptunian",-0.24522843831355,"K","non-habitable"
"XO-1 b.3",-0.485334638508579,-0.77928330446635,0.750120781893451,"Jovian",-0.195072771568083,"G","non-habitable"
"Kepler-412 b.2",-0.527526521835451,-1.10893970372279,1.40851346901399,"Jovian",-0.0665488755328234,"G","non-habitable"
"Kepler-332 b",-0.431422667731135,-0.471494392952732,0.0619103165566722,"Terran",-0.24522843831355,"K","non-habitable"
"Kepler-1480 b",-0.262591062258224,0.0733083851496183,-0.349014905952095,"Superterran",-0.217015875769225,"K","non-habitable"
"WASP-41 c",1.19050588011282,1.67760447833673,-1.74573240744452,"Jovian",-0.210746417426041,"G","non-habitable"
"HD 109749 b.1",-0.451025827726833,-0.650405596948069,0.810313794538162,"Jovian",-0.0884919797339653,"G","non-habitable"
"Kepler-141 c.2",-0.438323591206092,-0.512403781539609,0.152259619648297,"Terran",-0.223285334112408,"K","non-habitable"
"Kepler-84 f",-0.049259855111812,0.447789474476924,-0.239171025158289,"Superterran",-0.104165625591924,"F","non-habitable"
"Kepler-526 b.1",-0.44628072699174,-0.631382778549789,0.751696894255407,"Superterran",-0.113569813106699,"G","non-habitable"
"Kepler-801 b",-0.393083007469418,-0.270167262393774,-0.373641144568639,"Superterran",-0.273441000857875,"K","non-habitable"
"Kepler-1079 b",-0.335952445074369,-0.194395626647418,0.415436597102532,"Superterran",-0.0446057713316816,"G","non-habitable"
"Kepler-1329 b",-0.413667434115526,-0.371580147864946,-0.197858570294143,"Superterran",-0.254632625828325,"K","non-habitable"
"Kepler-1505 b",-0.174489928397187,0.250304217997477,-0.346110384367597,"Terran",-0.201342229911266,"G","non-habitable"
"Kepler-26 e",-0.108968312644904,0.474721651506191,-1.43422692337492,"Superterran",-0.311057750916975,"M","habitable"
"HD 37605 b.1",0.00326504596796619,0.561992372120753,-0.74808156436015,"Jovian",-0.185668584053308,"K","non-habitable"
"Kepler-1408 b",-0.49341591196961,-0.896344343995731,1.24303334590356,"Terran",-0.0477405005032733,"F","non-habitable"
"Kepler-1595 b",-0.47593890402268,-0.713759834521385,0.461826488501112,"Terran",-0.220150604940816,"K","non-habitable"
"K2-237 b",-0.512452513055325,-1.02269901417787,1.39909152496366,"Jovian",-0.0383363129884983,"F","non-habitable"
"Kepler-925 b",-0.174858335367326,0.300125877424018,-0.780309857134994,"Superterran",-0.24522843831355,"K","non-habitable"
"Kepler-1596 b.2",0.0759291385884035,0.664010328186079,-0.684223888275121,"Superterran",-0.182533854881716,"G","non-habitable"
"Kepler-75 b",-0.404465475774107,-0.396256864729017,0.144342401389352,"Jovian",-0.191938042396491,"K","non-habitable"
"Kepler-571 b.2",-0.467672300986525,-0.690925107958062,0.59260174678914,"Neptunian",-0.188803313224899,"G","non-habitable"
"HD 102117 b.2",-0.254201618657704,0.0410059424848489,0.0892859481043244,"Jovian",-0.0853572505623736,"G","non-habitable"
"Kepler-121 b",-0.503684103816979,-0.872082731498167,0.593032254706635,"Superterran",-0.251497896656733,"G","non-habitable"
"Kepler-20 c",-0.374880708624126,-0.295898477361933,0.204696470131928,"Neptunian",-0.169994938195349,"G","non-habitable"
"Kepler-914 b.1",-0.467721676527284,-0.729280616805065,0.873935538663535,"Terran",-0.110435083935107,"G","non-habitable"
"WASP-96 b",-0.488825710952498,-0.840242919714098,0.852849904343976,"Jovian",-0.141782375651024,"G","non-habitable"
"HATS-5 b.1",-0.467987188474732,-0.69429007213256,0.505667260114513,"Jovian",-0.198207500739674,"G","non-habitable"
"HATS-44 b",-0.509628989141868,-0.932611682110803,0.716618065155925,"Jovian",-0.204476959082858,"K","non-habitable"
"Kepler-1388 e",-0.173542885127464,0.356769860328681,-1.10951229497817,"Superterran",-0.279710459201058,"K","non-habitable"
"HD 215497 c",1.43015787341319,1.8426571034697,-2.0054615952305,"Jovian",-0.204476959082858,"K","non-habitable"
"Kepler-109 b",-0.433917578707862,-0.55014419498357,0.816755132803252,"Superterran",-0.0571446880180484,"G","non-habitable"
"Kepler-1189 b.2",-0.479591809314882,-0.796651518633278,0.990256276925767,"Superterran",-0.107300354763515,"F","non-habitable"
"Kepler-107 c",-0.456821343961578,-0.681214607877466,0.959649498030879,"Superterran",-0.0289321254737232,"G","non-habitable"
"K2-80 b",-0.286471806009879,-0.00440918789715567,-0.152144504133384,"Superterran",-0.198207500739674,"G","non-habitable"
"NGC 2682 YBP 1194 b.1",-0.427850305528769,-0.515974235505071,0.523522573567549,"Jovian",-0.156978853034483,"G","non-habitable"
"Kepler-573 b.1",-0.245754427401441,0.0746563343893629,-0.0477704971252774,"Neptunian",-0.151186563165799,"G","non-habitable"
"GJ 667 C c",-0.308223074480762,0.200988406773081,-1.37191905921921,"Terran",-0.336356259819201,"M","habitable"
"Kepler-431 b",-0.427062083121208,-0.526909854882061,0.65140831956958,"Subterran",-0.129243458964657,"F","non-habitable"
"Kepler-672 b",-0.111298053711556,0.367318361236244,-0.426868766594675,"Superterran",-0.182533854881716,"G","non-habitable"
"HATS-32 b",-0.500752486294405,-0.922558476805775,0.999797966229512,"Jovian",-0.126108729793066,"G","non-habitable"
"HD 7449 b",2.39566973244728,2.28036187169373,-2.23620721060582,"Jovian",-0.175607774223147,"G","non-habitable"
"Kepler-1278 b",-0.49105222554386,-0.863944943099942,1.08569197178672,"Terran",-0.107300354763515,"F","non-habitable"
"K2-148 c",-0.450794291077764,-0.518506586031154,-0.239447415031529,"Superterran",-0.273441000857875,"K","non-habitable"
"32",-0.00118563653082654,0.664965311568817,-1.48300405964703,"Terran",-0.305704471461494,"M","habitable"
"90",0.248204648235925,0.963351358949706,-1.56965892511717,"Superterran",-0.268183097506189,"M","habitable"
"Kepler-1523 b.1",-0.552496355460136,-1.29616435926637,1.51137271716833,"Superterran",-0.169994938195349,"G","non-habitable"
"Kepler-1075 b",-0.545782644097749,-1.15048929215304,0.406043318415161,"Terran",-0.3016535634022,"K","non-habitable"
"Kepler-11 d",-0.243538359865985,0.0864723650050543,-0.0457660529032513,"Neptunian",-0.138647646479432,"G","non-habitable"
"HD 28185 b",1.13040808671699,1.6196898405042,-1.50498136975929,"Jovian",-0.148051833994207,"G","non-habitable"
"Kepler-1123 b",-0.475900429050415,-0.736496543083835,0.63633188114712,"Superterran",-0.188803313224899,"G","non-habitable"
"Kepler-970 b",-0.333098347022299,-0.073290778500451,-0.506347723369011,"Neptunian",-0.260902084171508,"K","non-habitable"
"Kepler-251 d.1",-0.186742775874428,0.237536017289844,-0.3391317990831,"Neptunian",-0.191938042396491,"G","non-habitable"
"K2-138 c",-0.490613395012127,-0.823689004425873,0.659391497833672,"Neptunian",-0.201342229911266,"K","non-habitable"
