"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_TEMPERATURE","S_RADIUS_EST","P_HABITABLE"
"Kepler-244 d",-0.518990972504375,-0.275667932366646,0.0213388946980275,-0.212547859039272,0.217589635490236,-0.220150604940816,"non-habitable"
"HD 152581 b",1.56608913073769,1.80688624193987,1.94722692721021,-0.83229896967925,-0.401398551584328,1.14032185552998,"non-habitable"
"497",-1.05829458906762,-0.499296683400752,-0.410801749382223,-1.58386084956311,-3.6027638329504,-0.430410774267685,"habitable"
"K2-54 b",-0.974483990028074,-0.438093247988982,-0.348149271982351,-0.799312860904772,-2.14196310534998,-0.351809230147667,"non-habitable"
"Kepler-241 b",-0.512404420152249,-0.376901897067077,-0.215218603777399,-0.299036776643106,-0.820323395254309,-0.260902084171508,"non-habitable"
"Kepler-1154 c",-0.502614231118641,-0.39102934876539,-0.420641492533177,0.786844332346563,1.02666372168828,-0.0226626671305398,"non-habitable"
"24",-0.57303156072301,-0.20431551394012,0.333736045087163,-1.77519645669559,-2.86429702285105,-0.362524407299175,"habitable"
"282",-0.569367581666911,-0.087996296546632,0.560207880889283,-1.53668197247418,-2.22907787600048,-0.311057750916975,"habitable"
"384",-0.714020147498033,0.290376668372414,1.01255787174523,-1.42664416823272,-0.557449418116023,-0.267310671460441,"habitable"
"HD 215152 c",-0.958292231255222,-0.437418466621829,-0.493968829594417,0.0952420420053533,-0.516078536982264,-0.242093709141958,"non-habitable"
"297",-0.717813623606324,0.207984505572489,0.930467675899599,-1.46359515620279,-0.87238942603071,-0.280109418268114,"habitable"
"422",-1.08551442340951,-0.53060001144765,-0.637360948018835,-1.45283383560347,-3.77533904044124,-0.436273316897296,"habitable"
"HD 208527 b",2.3465087924888,2.18312823917846,2.0814009755809,0.405140195999732,-1.76615768887752,15.5475371281654,"non-habitable"
"516",-0.586887963051766,-0.244431988351864,0.29094828824866,-1.39527577374072,-2.5481173624649,-0.326743120056198,"habitable"
"HATS-67 b",1.44739137118824,-0.524303921011441,-1.13209395399225,1.66676451293858,1.2833075959518,-0.0195279379589481,"non-habitable"
"238",-0.852479416382038,-0.321343161890207,0.174278321627781,-1.46751681348132,-2.79168226223425,-0.363978955397183,"habitable"
"399",-0.677970743910341,0.699491952207403,1.40374887599168,-1.80833993354717,-0.560250230027628,-0.273780135511836,"habitable"
"347",-0.789674771139757,0.343615245463729,1.04087989007531,-1.57040454280045,-0.965805489343622,-0.26523503556498,"habitable"
"HD 30669 b",0.921690845477555,2.61135030506604,2.44246767656495,-2.41148082910525,0.0429999910905849,-0.185668584053308,"non-habitable"
"Kepler-866 b",-0.746307316258353,-0.51611125434054,-0.951656544138507,0.543860471993847,-0.751994375456343,-0.248363167485142,"non-habitable"
"Kepler-184 c",-0.623964089351276,-0.273512844726283,0.0279287057321356,-0.0909550365007283,0.473821081081511,-0.198207500739674,"non-habitable"
"Kepler-916 b.1",-0.697107579537712,-0.174358938305505,0.274657468029655,-0.514402513931315,-0.134273847838382,-0.217015875769225,"non-habitable"
"Kepler-60 d.1",-0.658178167802454,-0.356057797524791,-0.249268601090026,0.459823525030394,0.598078206835637,-0.0759530630475985,"non-habitable"
"K2-133 e",-0.709180276736973,-0.287338170945309,0.170674706803682,-1.24285172915019,-2.38022952636486,-0.326731396774934,"non-habitable"
"K2-59 c",-0.522302362285276,-0.3847779125382,-0.275705559325365,-0.0931355597894835,-0.366912181145028,-0.242093709141958,"non-habitable"
"Pr0211 c",2.23425138468563,4.00294075017996,3.02662949710544,-3.10443267826809,-0.0730563493164147,-0.210746417426041,"non-habitable"
"K2-43 b",0.00494026274651579,-0.506050861146093,-0.834520025734772,0.00621561840265191,-1.99381527528349,-0.285979917544242,"non-habitable"
"Kepler-1079 b",-0.746307316258353,-0.335952445074369,-0.194395626647418,0.415436597102532,0.441555712177248,-0.0446057713316816,"non-habitable"
"HD 68988 b",1.59070617174504,-0.431422667731135,-0.5654561355056,0.719098476916874,0.626403256171872,-0.0978961672487404,"non-habitable"
"Kepler-292 e",-0.419036093504034,-0.370171055901248,-0.245813953319437,0.0238914806186461,-0.0742279357799686,-0.210746417426041,"non-habitable"
"HATS-15 b",1.63593873005968,-0.531949552174932,-1.10355964402724,1.07778601244722,-0.060183465342247,-0.182533854881716,"non-habitable"
"Kepler-205 c",-0.742113402347394,-0.314786168624369,0.0280205252270743,-0.776483486178172,-1.34099569126186,-0.298518834230609,"non-habitable"
"Kepler-1150 b.1",-1.09212124984684,-0.512287520552019,-0.926161669051691,0.519937128525249,-0.748075161674232,-0.24522843831355,"non-habitable"
"Kepler-296 f",-0.681239355233854,-0.0394479566667997,0.638528199266598,-1.6727266739787,-2.23750335952037,-0.32046193843175,"habitable"
"503",-0.698384299519114,-0.256613105569946,0.195559616164205,-1.81255580225132,-3.04279615898173,-0.378666686349849,"habitable"
"GJ 832 c",-0.557088677529738,-0.226572789166145,0.328116054103505,-1.41333119134724,-2.69911818362826,-0.315580754462061,"habitable"
"K2-110 b",-0.449077946039448,-0.357433017126349,-0.170902948945448,-0.242907574646805,-0.497235615581812,-0.248363167485142,"non-habitable"
"Kepler-1245 c",-0.820347827373573,-0.50567985859938,-0.904887116795356,0.738402076786342,-0.0660314684410077,-0.210746417426041,"non-habitable"
"Kepler-1376 b",-1.06351533000518,-0.456485417565542,-0.644337686206652,0.621081115712939,0.333874686986756,-0.166860209023758,"non-habitable"
"198",-0.523998012328084,0.599229692752396,1.25668585665736,-1.41649929477751,-0.0750285465361497,-0.216249487337373,"habitable"
"Kepler-1486 b.1",-0.515691684386762,0.0264369040173573,0.558397130159003,-0.400179591776545,0.660848222714826,-0.119839271449882,"non-habitable"
"NGC 2682 YBP 1194 b",0.743050268390364,-0.427850305528769,-0.515974235505071,0.523522573567549,0.465233361086637,-0.156978853034483,"non-habitable"
"KIC 8540376 b",-0.105853593451413,-0.151604502123652,0.266518133333046,0.0997037778080062,1.16927236654528,-0.0759530630475985,"non-habitable"
"Kepler-1189 b",-0.69311621935904,-0.479591809314882,-0.796651518633278,0.990256276925767,0.709578703922328,-0.107300354763515,"non-habitable"
"Kepler-1540 b",-0.4676069960548,0.304359567534435,1.01166440476055,-1.51181198747788,-1.03404193333879,-0.254632625828325,"habitable"
"416",-0.383752604361806,-0.303227829108539,0.237548214129824,-1.55642387157893,-2.86592752493623,-0.361960382020031,"habitable"
"Kepler-397 b",-0.47701883941787,-0.267058896257283,0.0762660845579843,-0.332654817208854,-0.0648614271692117,-0.229554792455591,"non-habitable"
