"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"Kepler-380 c",-0.890181254742566,-0.797432045939634,-0.413114372304967,-0.471258771207824,-0.413368936045872,-0.396226633332321,-0.416959170907828,0.737904143780208,0.685666568455858,"Terran",0.743566648958829,-0.0884919797339653,"F",0.248867066653459,0.0109234577396921,-0.00318928060217686,"non-habitable"
"Kepler-289 d",-0.660782375278174,-0.52430657484956,0.103215523800397,0.661462730336642,0.0885947061719437,0.200833336668398,0.0459748211844827,-0.794482015796264,-0.581232873692175,"Neptunian",0.686816287784509,-0.157456021508982,"G",-0.0704774844048891,-0.123262520521841,-0.128863275794524,"non-habitable"
"KOI-94 d",0.762920383830159,1.13612287638057,-0.215186874149143,0.0784486319714593,-0.220865194563562,-0.176378823237686,-0.232523710145217,0.262033723198098,0.29997766079184,"Jovian",0.882712086328552,0.00554989541378545,"F",0.710339342283027,0.214624378413249,0.186159415880343,"non-habitable"
"K2-71 b",-0.566489243562368,-0.626186710891096,-0.46402681474093,-0.51414412937981,-0.462864801445356,-0.455099422963072,-0.462606537837052,-0.683359150191402,-0.484369156656348,"Superterran",-1.81093963773801,-0.336135584289709,"K",-0.976507912733576,-0.567736003419162,-0.538934132019679,"non-habitable"
"Kepler-1050 b",-0.754747644035556,-0.732402171870569,-0.309255250079108,-0.117287644378115,-0.312399568083109,-0.276128756242092,-0.323840568963831,0.213929276517729,0.260994317484622,"Superterran",0.707512837625283,-0.116704542278291,"F",0.112228859810469,-0.0465986888971789,-0.0568730078721026,"non-habitable"
"Kepler-841 b",0.0784282602069423,-0.0300795319246647,0.335677041196554,1.00730650433762,0.314588263445728,0.469641065312002,0.254396489322945,-1.40273172109154,-1.17810841258663,"Neptunian",-0.0450043805240936,-0.217015875769225,"G",-0.545482551039633,-0.31165810846881,-0.299638775706191,"non-habitable"
"HD 40307 g",-0.447669807725383,-0.547151242817019,0.557491925815612,1.26177878213828,0.567616694560066,0.398916990474112,0.680767413650019,-1.59999555770774,-1.46264387992805,"Superterran",-0.489714426897019,-0.206112287731823,"K",-0.621159242457278,-0.341332633864999,-0.323545659813717,"habitable"
"Kepler-188 b",-0.725510705100924,-0.717228534587787,-0.520299465086769,-1.04370387228404,-0.517571733462872,-0.520170508679348,-0.513059790431394,1.50956600377427,1.30843304432224,"Superterran",0.718866606988921,-0.113569813106699,"F",0.13097485944211,-0.03900838705875,-0.0498726212410277,"non-habitable"
"KIC 10525077 b",0.116751160077827,0.0219443673305874,1.90398844798883,2.06773459847741,1.83926330516469,2.28316371537389,1.66052204173934,-1.79568177361828,-1.82681211745965,"Neptunian",0.790635538897164,-0.154321292337391,"F",-0.0112424522950356,-0.101909364293118,-0.109964286592575,"non-habitable"
"Kepler-1100 b",-0.701115335052159,-0.704222559773974,-0.426749499253996,-0.554564849842422,-0.426624682104861,-0.41199366241305,-0.42918423050405,0.964000148075547,0.86830318149738,"Superterran",0.947655098289994,-0.050875229674865,"F",0.518316168157495,0.121539912201731,0.0978252460897969,"non-habitable"
