"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_RADIUS_EST","S_LUMINOSITY","P_HABITABLE"
"Kepler-380 c",-0.890181254742566,-0.413114372304967,-0.471258771207824,0.685666568455858,-0.0884919797339653,0.248867066653459,"non-habitable"
"Kepler-289 d",-0.660782375278174,0.103215523800397,0.661462730336642,-0.581232873692175,-0.157456021508982,-0.0704774844048891,"non-habitable"
"KOI-94 d",0.762920383830159,-0.215186874149143,0.0784486319714593,0.29997766079184,0.00554989541378545,0.710339342283027,"non-habitable"
"K2-71 b",-0.566489243562368,-0.46402681474093,-0.51414412937981,-0.484369156656348,-0.336135584289709,-0.976507912733576,"non-habitable"
"Kepler-1050 b",-0.754747644035556,-0.309255250079108,-0.117287644378115,0.260994317484622,-0.116704542278291,0.112228859810469,"non-habitable"
"Kepler-841 b",0.0784282602069423,0.335677041196554,1.00730650433762,-1.17810841258663,-0.217015875769225,-0.545482551039633,"non-habitable"
"HD 40307 g",-0.447669807725383,0.557491925815612,1.26177878213828,-1.46264387992805,-0.206112287731823,-0.621159242457278,"habitable"
"Kepler-188 b",-0.725510705100924,-0.520299465086769,-1.04370387228404,1.30843304432224,-0.113569813106699,0.13097485944211,"non-habitable"
"KIC 10525077 b",0.116751160077827,1.90398844798883,2.06773459847741,-1.82681211745965,-0.154321292337391,-0.0112424522950356,"non-habitable"
"Kepler-1100 b",-0.701115335052159,-0.426749499253996,-0.554564849842422,0.86830318149738,-0.050875229674865,0.518316168157495,"non-habitable"
"Kepler-179 b",-0.742113402347394,-0.510791223842794,-0.933789620544325,0.714392151258438,-0.232689521627183,-0.600413434249709,"non-habitable"
"HD 136352 d",-0.368262240655266,0.251658061184655,0.927748875890567,-0.877209203950194,-0.173116774225858,-0.272235651234591,"non-habitable"
"Kepler-1336 c",-0.713237690137413,-0.450536720607854,-0.604772249848373,0.77209344405112,-0.0634141463612317,0.0637364618160252,"non-habitable"
"HAT-P-23 b",1.41051245242035,-0.552524161397926,-1.2231034782749,1.56254237316063,-0.169994938195349,-0.160356349063885,"non-habitable"
"Kepler-41 b",1.00327381493485,-0.522658444161218,-1.0822462019186,1.35651836426072,-0.0665488755328234,0.179172078811613,"non-habitable"
"WASP-79 b",1.19788671679027,-0.472244058875426,-0.811407172230106,1.33127828039631,0.030627728786519,1.06683442072611,"non-habitable"
"Kepler-320 b",-0.98456297444436,-0.397205725851201,-0.425718867334162,0.643357162201382,-0.122974000621474,0.298278449615088,"non-habitable"
"Kepler-155 b",-0.587626694025666,-0.463794050187854,-0.592360960271436,-0.026246118961458,-0.276575730029467,-0.862571420205932,"non-habitable"
"K2-187 c",-0.681239355233854,-0.503211025710165,-0.914019797790273,0.846844892206152,-0.182533854881716,-0.376249970301583,"non-habitable"
"Kepler-97 b",-0.722736185359555,-0.510514090077404,-0.956318100844008,1.03774265976792,-0.163725479852166,-0.188224896919216,"non-habitable"
"HD 31527 c",-0.153807915470995,-0.0174163067928214,0.523101431076542,-0.468366878519285,-0.168352199046622,-0.156505747232082,"non-habitable"
"Kepler-109 c",0.0379002506925518,-0.250022208843945,0.0512782595969947,0.212850032848351,-0.0571446880180484,0.326600501681266,"non-habitable"
